# Time	p
0.0012	717758
0.00264	502230
0.004368	-171668
0.0064416	-485932
0.00892992	-214601
0.0119138	204151
0.0153907	299216
0.0193707	60507.4
0.0238655	-175684
0.0288773	-166863
0.0339907	11434.1
0.039061	129664
0.0441527	82388.1
0.0493033	-36825.9
0.0544925	-85717.9
0.0596779	-33021.1
0.0648444	39448.5
0.0700111	51706.7
0.0752014	7462.92
0.0804172	-32399.7
0.0856416	-28023.2
0.0908596	4085.37
0.096072	23339.5
0.101289	13397.9
0.106517	-7583.65
0.111753	-15004.6
0.116989	-4900.52
0.122223	7570.74
0.12746	8924.3
0.132704	781.07
0.137953	-5897.87
0.143206	-4631.78
0.14846	1120.9
0.153714	4219.31
0.158971	2192.34
0.164233	-1482.93
0.169497	-2574.9
0.174764	-659.69
0.180033	1474.92
0.185303	1571.2
0.190576	82.6712
0.195851	-1028.15
0.201128	-719.909
0.206408	305.076
0.211689	796.884
0.216972	393.62
0.222257	-246.767
0.227544	-400.597
0.232832	-41.4948
0.238122	321.581
0.243414	313.63
0.248707	43.4346
0.254002	-139.686
0.259299	-70.8311
0.264597	110.696
0.269897	187.356
0.275198	108.611
0.2805	-2.33306
0.285804	-22.5312
0.29111	44.1621
0.296416	105.458
0.301724	99.6607
0.307033	50.9055
0.312344	21.0212
0.317655	35.6326
0.322968	67.5914
0.328282	79.248
0.333598	64.0738
0.338914	44.9438
0.344232	42.6039
0.34955	54.8826
0.35487	65.1426
0.360191	63.3381
0.365513	54.573
0.370836	49.7362
0.37616	52.7186
0.381485	58.3041
0.386811	60.0106
0.392138	57.1093
0.397466	53.8145
0.402795	53.6034
0.408125	55.8351
0.413456	57.5273
0.418788	57.0625
0.424121	55.4831
0.429454	54.6973
0.434789	55.2785
0.440124	56.2377
0.445461	56.4652
0.450798	55.9059
0.456136	55.3302
0.461475	55.3166
0.466814	55.7083
0.472155	55.974
0.477496	55.8567
0.482838	55.5634
0.488181	55.4264
0.493525	55.5272
0.498869	55.6805
0.504214	55.6974
0.50956	55.581
0.514907	55.4706
0.520255	55.4621
0.525603	55.5203
0.530952	55.5516
0.536302	55.5156
0.541652	55.4521
0.547003	55.4187
0.552355	55.4265
0.557707	55.4414
0.563061	55.4315
0.568414	55.3991
0.573769	55.3692
0.579124	55.3577
0.58448	55.3571
0.589837	55.3513
0.595194	55.3337
0.600552	55.3118
0.60591	55.2958
0.61127	55.2869
0.616629	55.279
0.62199	55.2666
0.627351	55.2505
0.632713	55.235
0.638075	55.2228
0.643438	55.2124
0.648801	55.201
0.654165	55.1877
0.65953	55.174
0.664895	55.1615
0.670261	55.1502
0.675628	55.139
0.680995	55.1271
0.686363	55.1146
0.691731	55.1024
0.6971	55.091
0.702469	55.0798
0.707839	55.0683
0.71321	55.0565
0.718581	55.0448
0.723952	55.0334
0.729324	55.0222
0.734697	55.011
0.74007	54.9996
0.745444	54.9883
0.750818	54.977
0.756193	54.9658
0.761569	54.9547
0.766945	54.9435
0.772321	54.9323
0.777698	54.9211
0.783075	54.91
0.788453	54.8989
0.793832	54.8879
0.799211	54.8768
0.80459	54.8658
0.809971	54.8548
0.815351	54.8438
0.820732	54.833
0.826114	54.8221
0.831496	54.8112
0.836878	54.8004
0.842261	54.7896
0.847645	54.7788
0.853029	54.7681
0.858413	54.7574
0.863798	54.7468
0.869183	54.7362
0.874569	54.7255
0.879956	54.715
0.885343	54.7045
0.89073	54.694
